,year,month,avtemp_SP,temp_anom_SP,avtemp_Rio,temp_anom_Rio,avtemp_Manaus,temp_anom_Manaus
0,1973,JAN,24.51,3.620000000000001,27.73,3.525000000000002,27.99,0.2699999999999996
1,1973,FEB,25.18,4.289999999999999,27.97,3.7650000000000006,27.64,0.0799999999999983
2,1973,MAR,22.22,1.3299999999999983,25.7,1.495000000000001,27.92,0.20000000000000284
3,1973,APR,23.85,2.960000000000001,26.49,2.285,27.81,0.08999999999999986
4,1973,MAY,18.73,2.16,22.42,1.7849999999999966,26.99,0.7300000000000004
5,1973,JUN,18.97,1.9200000000000017,22.76,1.4449999999999967,27.83,0.10999999999999943
6,1973,JUL,18.42,2.469999999999999,22.14,2.0649999999999977,27.68,0.03999999999999915
7,1973,AUG,17.28,3.6099999999999994,21.03,3.174999999999997,28.16,0.4400000000000013
8,1973,SEP,18.28,2.6099999999999994,21.46,2.7449999999999974,28.11,0.39000000000000057
9,1973,OCT,19.44,1.4499999999999993,22.46,1.7449999999999974,28.51,0.7900000000000027
10,1973,NOV,19.82,1.0700000000000003,23.06,1.1449999999999996,28.42,0.7000000000000028
11,1973,DEC,22.63,1.7399999999999984,25.85,1.6450000000000031,27.3,0.41999999999999815
12,1974,JAN,23.22,2.3299999999999983,26.68,2.4750000000000014,27.16,0.5599999999999987
13,1974,FEB,24.54,3.6499999999999986,27.16,2.955000000000002,26.77,0.9499999999999993
14,1974,MAR,23.06,2.169999999999998,26.56,2.3550000000000004,26.84,0.879999999999999
15,1974,APR,20.21,0.6799999999999997,23.94,0.264999999999997,27.36,0.35999999999999943
16,1974,MAY,18.99,1.9000000000000021,22.76,1.4449999999999967,27.04,0.6799999999999997
17,1974,JUN,16.46,4.43,20.7,3.504999999999999,27.21,0.509999999999998
18,1974,JUL,17.84,3.0500000000000007,21.2,3.004999999999999,27.25,0.46999999999999886
19,1974,AUG,18.97,1.9200000000000017,21.81,2.3949999999999996,28.57,0.8500000000000014
20,1974,SEP,19.28,1.6099999999999994,22.91,1.2949999999999982,27.94,0.22000000000000242
21,1974,OCT,19.5,1.3900000000000006,22.8,1.4049999999999976,28.91,1.1900000000000013
22,1974,NOV,21.29,0.3999999999999986,24.51,0.30500000000000327,28.23,0.5100000000000016
23,1974,DEC,21.3,0.41000000000000014,24.54,0.33500000000000085,27.02,0.6999999999999993
24,1975,JAN,22.74,1.8499999999999979,25.27,1.0650000000000013,26.89,0.8299999999999983
25,1975,FEB,24.16,3.2699999999999996,26.92,2.7150000000000034,26.49,1.2300000000000004
26,1975,MAR,23.81,2.919999999999998,26.43,2.2250000000000014,26.73,0.9899999999999984
27,1975,APR,20.31,0.5800000000000018,22.82,1.384999999999998,26.98,0.7399999999999984
28,1975,MAY,18.16,2.7300000000000004,21.37,2.8349999999999973,27.1,0.6199999999999974
29,1975,JUN,17.59,3.3000000000000007,20.5,3.7049999999999983,27.02,0.6999999999999993
30,1975,JUL,16.1,4.789999999999999,19.68,4.524999999999999,26.01,1.7099999999999973
31,1975,AUG,21.05,0.16000000000000014,22.98,1.2249999999999979,27.76,0.0400000000000027
32,1975,SEP,20.27,0.620000000000001,22.4,1.8049999999999997,28.66,0.9400000000000013
33,1975,OCT,20.7,0.19000000000000128,22.65,1.5549999999999997,28.93,1.2100000000000009
34,1975,NOV,21.15,0.259999999999998,24.11,0.09499999999999886,28.43,0.7100000000000009
35,1975,DEC,23.46,2.5700000000000003,26.53,2.325000000000003,27.38,0.33999999999999986
36,1976,JAN,24.06,3.169999999999998,27.48,3.275000000000002,26.23,1.4899999999999984
37,1976,FEB,22.38,1.4899999999999984,26.2,1.995000000000001,26.54,1.1799999999999997
38,1976,MAR,22.98,2.09,25.55,1.3450000000000024,26.38,1.3399999999999999
39,1976,APR,20.83,0.060000000000002274,24.99,0.7850000000000001,26.85,0.8699999999999974
40,1976,MAY,18.29,2.6000000000000014,22.01,2.1949999999999967,27.43,0.28999999999999915
41,1976,JUN,17.16,3.7300000000000004,21.18,3.0249999999999986,27.31,0.41000000000000014
42,1976,JUL,16.26,4.629999999999999,20.14,4.064999999999998,27.59,0.129999999999999
43,1976,AUG,17.45,3.4400000000000013,21.15,3.0549999999999997,28.73,1.0100000000000016
44,1976,SEP,17.61,3.280000000000001,21.27,2.9349999999999987,29.67,1.9500000000000028
45,1976,OCT,19.18,1.7100000000000009,22.06,2.1449999999999996,29.21,1.490000000000002
46,1976,NOV,21.59,0.6999999999999993,24.4,0.19500000000000028,28.63,0.9100000000000001
47,1976,DEC,22.54,1.6499999999999986,25.56,1.3550000000000004,27.91,0.19000000000000128
48,1977,JAN,23.57,2.6799999999999997,27.13,2.9250000000000007,27.72,0.0
49,1977,FEB,25.54,4.649999999999999,28.51,4.305000000000003,26.69,1.0299999999999976
50,1977,MAR,24.14,3.25,26.88,2.6750000000000007,26.75,0.9699999999999989
51,1977,APR,20.51,0.379999999999999,24.22,0.015000000000000568,27.11,0.6099999999999994
52,1977,MAY,18.94,1.9499999999999993,22.35,1.8549999999999969,26.82,0.8999999999999986
53,1977,JUN,18.53,2.3599999999999994,22.13,2.0749999999999993,27.04,0.6799999999999997
54,1977,JUL,20.25,0.6400000000000006,23.07,1.134999999999998,27.76,0.0400000000000027
55,1977,AUG,20.44,0.4499999999999993,22.29,1.9149999999999991,28.77,1.0500000000000007
56,1977,SEP,20.29,0.6000000000000014,22.44,1.764999999999997,28.71,0.990000000000002
57,1977,OCT,21.99,1.0999999999999979,23.92,0.2849999999999966,28.17,0.45000000000000284
